job_url,source,job_title,company_name,location,description,search_keyword,salary,date_posted,tags
https://weworkremotely.com/remote-jobs/close-senior-software-engineer-backend-python-usa-only-100-remote-1,WeWorkRemotely,Senior Software Engineer - Backend/Python - USA Only (100% Remote),,Remote,Description not found.,software engineer,,,
https://weworkremotely.com/remote-jobs/dropbox-staff-fullstack-product-software-engineer-dash,WeWorkRemotely,"Staff Fullstack Product Software Engineer, Dash",,Remote,Description not found.,software engineer,,,
https://weworkremotely.com/remote-jobs/bjak-senior-qa-automation-engineer,WeWorkRemotely,Senior QA Automation Engineer,,Remote,Description not found.,software engineer,,,
https://weworkremotely.com/remote-jobs/atria-physician-practice-new-york-pc-staff-software-engineer-product,WeWorkRemotely,"Staff Software Engineer, Product",,Remote,Description not found.,software engineer,,,
https://weworkremotely.com/remote-jobs/speechify-software-engineer-ios-core-product,WeWorkRemotely,"Software Engineer, iOS Core Product",,Remote,Description not found.,software engineer,,,
https://weworkremotely.com/remote-jobs/cue-senior-software-engineer,WeWorkRemotely,Senior Software Engineer,,Remote,Description not found.,software engineer,,,
https://weworkremotely.com/remote-jobs/kasha-senior-devops-engineer,WeWorkRemotely,Senior DevOps Engineer,,Remote,Description not found.,software engineer,,,
https://weworkremotely.com/remote-jobs/vanta-senior-software-engineer-design-systems,WeWorkRemotely,"Senior Software Engineer, Design Systems",,Remote,Description not found.,software engineer,,,
https://jobicy.com/jobs/143059-2026-raytheon-part-time-co-op-software-engineer,Jobicy,,,Remote,,software engineer,,,
https://jobicy.com/jobs/143054-2026-raytheon-part-time-co-op-java-software-engineer,Jobicy,,,Remote,,software engineer,,,
https://jobicy.com/jobs/142984-senior-software-engineer-core-enterprise,Jobicy,,,Remote,,software engineer,,,
https://remoteok.com/remote-jobs/1131437,RemoteOK,Junior Mid Full Stack Software Engineer,Black Canyon Consulting,Bethesda,"Overview
Black Canyon Consulting (BCC) is working with our partner Knowledge3 (knowledge3.ai) to search for a Junior/Mid Full Stack Software Engineer with DevOps exposure supporting delivery of knowledge-first systems. You will build systems that turn fragmented scientific and enterprise data into structured, reusable knowledge assets that support explainable reasoning, governed analytics, and trustworthy AI. This is a hands-on engineering role focused on building and operating production-ready applications across frontend, backend, and deployment environments. You will support systems built around a question-driven approach, where APIs, data pipelines, and interfaces align to clearly defined query patterns and system behavior.

This is a remote-first role with a preference for U.S.-based candidates working East Coast hours. Work is primarily asynchronous, with periodic coordination across the team.

Duties & Responsibilities
â¢ Build and maintain web interfaces using React, Next.js, JavaScript, and TypeScript
â¢ Implement, debug, and improve backend services in Python, including GraphQL APIs and supporting REST endpoints
â¢ Integrate with storage and data sources including local files, SQLite, and S3-compatible systems
â¢ Implement application-level security features
â¢ Write and maintain automated tests and improve reliability
â¢ Support application deployment and operation across environments
â¢ Containerize applications using Docker and Docker Compose
â¢ Configure environments, logging, TLS, and monitoring
â¢ Collaborate across repositories and services

Requirements
â¢ 1â4 years of experience or e
Please mention the word **FOREMOST** and tag RMTk3LjQ3Ljc1LjE3 when applying to show you read the job post completely (#RMTk3LjQ3Ljc1LjE3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",software engineer,,2026-05-03T00:00:13+00:00,"consulting, software, graphql, system, security, docker, support, web, devops, junior, engineer, engineering, backend"
https://remoteok.com/remote-jobs/1131407,RemoteOK,Senior Software Developer Burnaby,Geotab,Burnaby,"Who we are:
Geotab Â® is a global leader in IoT and connected transportation and certified âGreat Place to Workâ¢.â We are a company of diverse and talented individuals who work together to help businesses grow and succeed, and increase the safety and sustainability of our communities.
Geotab is advancing security, connecting commercial vehicles to the internet and providing web-based analytics to help customers better manage their fleets. Geotab's open platform and Geotab Marketplace Â®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their other data assets. Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve productivity, optimize fleets through the reduction of fuel consumption, enhance driver safety and achieve strong compliance to regulatory changes.
Our team is growing and we're looking for people who follow their passion, think differently and want to make an impact. Ours is a fast paced, ever changing environment. Geotabbers accept that challenge and are willing to take on new tasks and activities - ones that may not always be described in the initial job description. Join us for a fulfilling career with opportunities to innovate, great benefits, an
Please mention the word **LUCKINESS** and tag RMTk3LjQ3Ljc1LjE3 when applying to show you read the job post completely (#RMTk3LjQ3Ljc1LjE3). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",software engineer,,2026-05-01T00:00:26+00:00,"developer, software, leader, senior, operations, analytics, digital nomad"
